"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
7.446223667E0,3.351714611E-1,2.696344852E-1,-2.545945346E-1
7.466262667E0,2.743608654E-1,1.653591841E-1,-2.680977881E-1
7.486301666E0,3.305731416E-1,4.423782229E-2,-3.094595969E-1
7.506340667E0,3.058512509E-1,3.146895468E-1,-2.878665924E-1
7.526379666E0,-1.695890427E-1,9.743520617E-1,4.964348301E-2
7.546418667E0,-3.599922061E-1,5.897244215E-1,1.937668771E-1
7.566457666E0,-2.194558270E-2,1.509274691E-1,-2.787693776E-2
7.586496666E0,1.107126623E-1,1.481723338E-1,-4.089150205E-2
7.606535667E0,-5.456063896E-2,2.960098088E-1,7.022461295E-2
7.626574666E0,-2.048121095E-1,3.121338487E-1,1.675001234E-1
7.646613667E0,-3.181062937E-1,4.128512442E-1,3.224738538E-1
7.666652666E0,-5.126187801E-1,7.211549878E-1,4.353018701E-1
